adverb,War_and_Peace_count,War_and_Peace_per10k,Anna_Karenina_count,Anna_Karenina_per10k
so,1902,32.78694176439256,1550,44.03183928094586
there,1478,25.477970519333436,1019,28.94738337244118
now,1332,22.961202118912134,873,24.799868188558538
only,1300,22.40958164758692,652,18.521780136243034
then,941,16.221089484907147,516,14.658341334818106
very,804,13.859464342046063,651,18.493372497997264
again,709,12.221841067799328,444,12.612991381122557
away,617,10.63593221273933,430,12.215284445681753
here,484,8.3432596287939,344,9.772227556545404
always,464,7.998496834215638,344,9.772227556545404
suddenly,432,7.446876362890422,173,4.914521416518474
never,409,7.050399149125423,416,11.817577510240953
too,393,6.774588913462814,507,14.402672590606162
quite,376,6.481540538071294,221,6.278088052315507
evidently,350,6.033348905119555,39,1.1078978915850894
already,325,5.60239541189673,154,4.374776289848815
really,203,3.4993423649693423,123,3.4941395042298975
almost,156,2.68914979771043,122,3.465731865984126
especially,140,2.413339562047822,110,3.1248402070348673
often,140,2.413339562047822,103,2.925986739314467
quickly,138,2.3788632825899962,86,2.443056889136351
sometimes,133,2.292672583945431,48,1.363566635797033
merely,131,2.2581963044876048,79,2.2442034214159503
immediately,130,2.240958164758692,99,2.8123561863313804
rapidly,95,1.6376232742467363,44,1.2499360828139472
clearly,92,1.5859088550599973,53,1.5056048270258908
hardly,89,1.5341944358732582,53,1.5056048270258908
particularly,88,1.5169562961443455,79,2.2442034214159503
rather,88,1.5169562961443455,55,1.5624201035174337
probably,83,1.4307655974997802,25,0.7101909561442881
continually,79,1.3618130385841283,58,1.6476430182547481
angrily,79,1.3618130385841283,43,1.2215284445681756
simply,77,1.3273367591263021,186,5.283820713713503
involuntarily,76,1.3100986193973891,12,0.34089165894925827
ily,75,1.2928604796684762,0,0.0
hurriedly,68,1.1721935015660851,44,1.2499360828139472
silently,67,1.154955361837172,7,0.19885346772040066
slightly,60,1.034288383734781,17,0.4829298501781159
certainly,59,1.017050244005868,51,1.4487895505343478
kindly,59,1.017050244005868,19,0.5397451266696589
nearly,57,0.9825739645480418,7,0.19885346772040066
quietly,55,0.9480976850902157,17,0.4829298501781159
unexpectedly,54,0.9308595453613028,10,0.2840763824577152
early,53,0.9136214056323898,53,1.5056048270258908
hastily,53,0.9136214056323898,9,0.2556687442119437
scarcely,51,0.8791451261745638,30,0.8522291473731457
carefully,46,0.7929544275299987,39,1.1078978915850894
firmly,46,0.7929544275299987,25,0.7101909561442881
formerly,46,0.7929544275299987,4,0.1136305529830861
previously,46,0.7929544275299987,4,0.1136305529830861
easily,43,0.7412400083432596,25,0.7101909561442881
badly,43,0.7412400083432596,15,0.42611457368657285
orderly,43,0.7412400083432596,1,0.028407638245771524
completely,42,0.7240018686143467,67,1.9033117624666922
apparently,41,0.7067637288854337,20,0.5681527649154304
respectfully,41,0.7067637288854337,7,0.19885346772040066
fully,39,0.6722874494276075,39,1.1078978915850894
sternly,39,0.6722874494276075,10,0.2840763824577152
chiefly,39,0.6722874494276075,6,0.17044582947462913
