word,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
pierre,1604.3502623766408,59.991048106407284,0.11619732629952186
nat,1103.7302810185197,40.58414445951272,0.0
sha,1047.4082419871222,38.513184001496434,0.0
v,1002.8956627526303,36.87645718790292,0.0
andrew,951.1157236431194,34.972509670049234,0.0
prince,901.5316349323551,63.164293969496754,9.586279419710554
rost,876.6252849241743,32.23349745138253,0.0
s,611.8957297118071,26.187629017496274,0.697183957797131
nicholas,547.7772505795616,20.14176058361002,0.0
mary,535.788770070406,20.542591640000268,0.11619732629952186
army,514.8894028538485,22.01230551343118,0.5809866314976092
kut,486.0046916418996,17.87038459739861,0.0
emperor,457.36526618167966,17.636566481170963,0.11619732629952186
napoleon,436.0415925011436,16.033242255609963,0.0
zov,407.8805729854448,14.997762026601821,0.0
french,407.7090237710954,29.42768005665079,4.705991715130635
p,389.7451823678779,15.732618963317279,0.2323946525990437
den,383.02514257761237,14.53012579414653,0.05809866314976093
nya,381.5363934385006,14.02908697365872,0.0
sov,345.19959406340536,12.692983452357888,0.0
n,332.0889853111286,14.329710265951405,0.40669064204832645
count,288.09236348978345,21.945500337366138,3.834511767884221
d,287.6291409252954,11.624100635317225,0.17429598944928276
battle,285.7333797009787,11.82451616351235,0.2323946525990437
bor,267.07547540695043,9.820360881561104,0.0
toward,265.25863543819565,9.753555705496062,0.0
lokhov,260.7165355163088,9.586542765333459,0.0
commander,250.31100485665903,9.619945353365978,0.05809866314976093
soldiers,246.2223549211392,11.256672166959495,0.4647893051980874
troops,238.00603590687422,8.75147806452044,0.0
vas,237.09761592249674,8.718075476487918,0.0
tya,228.0134160787229,8.384049596162711,0.0
nski,224.37973614121347,8.250439244032627,0.0
officer,203.7984781099551,13.962281797593677,2.0334532102416323
li,194.4018766567599,7.148153838959443,0.0
anatole,188.95135675049556,6.9477383107643185,0.0
m,188.3297674862856,8.584465124357834,0.3485919788985655
bolk,172.59979703170268,6.346491726178944,0.0
replied,163.9876551021807,10.054178997788748,1.1619732629952184
l,159.06773418680908,7.01454348682936,0.2323946525990437
pierre's,151.70613739102288,5.578232201430967,0.0
war,149.79079036989845,10.020776409756227,1.394367915594262
general,148.45719383032178,16.400670723967693,4.531695725681352
evidently,143.19538427296465,11.690905811382265,2.265847862840676
bagrati,141.7135175628716,5.210803733073239,0.0
dear,136.92091179756352,12.926801568585534,3.021130483787568
h,131.07549883775602,5.711842553561049,0.17429598944928276
