word,War_and_Peace_count,War_and_Peace_per10k,Anna_Karenina_count,Anna_Karenina_per10k
wounds,8,0.2672207042601661,4,0.2323946525990437
rinova,5,0.1670129401626038,0,0.0
weakened,6,0.20041552819512456,1,0.05809866314976093
inconceivable,5,0.1670129401626038,3,0.17429598944928276
notables,3,0.10020776409756228,0,0.0
victims,3,0.10020776409756228,0,0.0
refined,11,0.3674284683577283,2,0.11619732629952186
pogatchev's,0,0.0,1,0.05809866314976093
grinning,1,0.03340258803252076,0,0.0
uneventful,0,0.0,1,0.05809866314976093
tenderer,0,0.0,2,0.11619732629952186
comprehend,7,0.2338181162276453,17,0.9876772735459357
october,31,1.0354802290081435,1,0.05809866314976093
proposing,6,0.20041552819512456,0,0.0
rskies,1,0.03340258803252076,0,0.0
asking,106,3.540674331447201,48,2.788735831188524
rugs,3,0.10020776409756228,7,0.40669064204832645
comes,53,1.7703371657236004,39,2.265847862840676
outdo,1,0.03340258803252076,0,0.0
nevertheless,9,0.3006232922926868,1,0.05809866314976093
childish,23,0.7682595247479774,14,0.8133812840966529
incurred,2,0.06680517606504152,1,0.05809866314976093
mariette,0,0.0,3,0.17429598944928276
corsican,1,0.03340258803252076,0,0.0
dullest,1,0.03340258803252076,1,0.05809866314976093
convincingly,0,0.0,1,0.05809866314976093
languages,2,0.06680517606504152,1,0.05809866314976093
ignorant,3,0.10020776409756228,4,0.2323946525990437
powerful,23,0.7682595247479774,13,0.755282620946892
linz,1,0.03340258803252076,0,0.0
marshalls,1,0.03340258803252076,0,0.0
pattern,3,0.10020776409756228,7,0.40669064204832645
congratulating,1,0.03340258803252076,1,0.05809866314976093
hochgeboren,1,0.03340258803252076,0,0.0
presentiment,8,0.2672207042601661,1,0.05809866314976093
ceiling,3,0.10020776409756228,3,0.17429598944928276
personification,3,0.10020776409756228,0,0.0
blasphemy,1,0.03340258803252076,0,0.0
votes,0,0.0,7,0.40669064204832645
bridegroom's,0,0.0,1,0.05809866314976093
witchery,1,0.03340258803252076,0,0.0
climb,2,0.06680517606504152,0,0.0
notepaper,1,0.03340258803252076,0,0.0
forbidden,8,0.2672207042601661,6,0.3485919788985655
subordinated,0,0.0,1,0.05809866314976093
alluded,5,0.1670129401626038,3,0.17429598944928276
l'urope,2,0.06680517606504152,0,0.0
pity's,1,0.03340258803252076,3,0.17429598944928276
lighting,11,0.3674284683577283,7,0.40669064204832645
bondarenko,0,0.0,1,0.05809866314976093
tskis,1,0.03340258803252076,0,0.0
conversed,2,0.06680517606504152,1,0.05809866314976093
dough,0,0.0,2,0.11619732629952186
smallest,8,0.2672207042601661,5,0.2904933157488046
active,24,0.8016621127804983,4,0.2323946525990437
mattresses,0,0.0,1,0.05809866314976093
repeating,44,1.4697138734309132,17,0.9876772735459357
railways,0,0.0,13,0.755282620946892
haired,30,1.0020776409756227,4,0.2323946525990437
listeners,6,0.20041552819512456,0,0.0
tchibisova,0,0.0,2,0.11619732629952186
pilate's,0,0.0,3,0.17429598944928276
likely,16,0.5344414085203322,31,1.8010585576425886
rolling,18,0.6012465845853736,5,0.2904933157488046
daredevil,3,0.10020776409756228,0,0.0
people's,26,0.8684672888455398,11,0.6390852946473701
meditation,4,0.13361035213008304,4,0.2323946525990437
rubs,1,0.03340258803252076,0,0.0
queenless,3,0.10020776409756228,0,0.0
eluded,0,0.0,1,0.05809866314976093
inactive,6,0.20041552819512456,0,0.0
bath,7,0.2338181162276453,13,0.755282620946892
ruffled,1,0.03340258803252076,1,0.05809866314976093
shortsighted,5,0.1670129401626038,0,0.0
reeled,1,0.03340258803252076,0,0.0
determines,1,0.03340258803252076,0,0.0
smokers,1,0.03340258803252076,0,0.0
stumbling,8,0.2672207042601661,6,0.3485919788985655
sopped,0,0.0,1,0.05809866314976093
links,4,0.13361035213008304,0,0.0
overboots,1,0.03340258803252076,0,0.0
allay,2,0.06680517606504152,0,0.0
midwife's,0,0.0,1,0.05809866314976093
disapprobation,0,0.0,3,0.17429598944928276
comrades,40,1.3361035213008303,9,0.5228879683478483
justness,1,0.03340258803252076,0,0.0
justifying,5,0.1670129401626038,5,0.2904933157488046
wolzogen,23,0.7682595247479774,0,0.0
appraised,1,0.03340258803252076,0,0.0
utmost,12,0.40083105639024913,15,0.8714799472464139
brighter,13,0.4342336444227699,2,0.11619732629952186
dampest,0,0.0,1,0.05809866314976093
nur,1,0.03340258803252076,0,0.0
ambler,1,0.03340258803252076,0,0.0
births,1,0.03340258803252076,0,0.0
harboring,2,0.06680517606504152,0,0.0
interaction,2,0.06680517606504152,0,0.0
ostrolenka,1,0.03340258803252076,0,0.0
palaces,1,0.03340258803252076,0,0.0
dandled,0,0.0,1,0.05809866314976093
yeux,1,0.03340258803252076,0,0.0
clattered,1,0.03340258803252076,0,0.0
horizon,13,0.4342336444227699,2,0.11619732629952186
describe,17,0.5678439965528529,4,0.2323946525990437
puts,3,0.10020776409756228,2,0.11619732629952186
